strategy,symbol,side,entry_dt,entry_px,exit_dt,exit_px,exit_reason,qty,pnl_net,r_multiple,regime_in,intraday,holding_bars
ORB Modified,INDUSINDBK,SHORT,2024-12-24 08:45:00,932.140392199707,2024-12-26 03:45:00,940.163735571289,EOD,160,-1583.1490633818682,-0.458429362360424,BEAR_TRENDING,True,2
ORB Modified,ADANIENT,LONG,2024-12-26 08:45:00,2397.68775,2024-12-26 09:45:00,2403.7731710114326,TP,62,79.50810225056296,0.02107947476303203,BEAR_TRENDING,True,1
ORB Modified,HDFCLIFE,LONG,2025-01-02 08:45:00,620.12185,2025-01-03 03:45:00,618.678557800293,EOD,242,-648.7952357758776,-0.25960104560502517,BULL_TRENDING,True,2
ORB Modified,TCS,SHORT,2025-01-14 09:45:00,4229.110912402343,2025-01-15 03:45:00,4222.532,EOD,35,-65.91068527422283,-0.018807973864754246,BEAR_TRENDING,True,1
ORB Modified,TITAN,LONG,2025-02-17 09:45:00,3237.9415999999997,2025-02-18 03:45:00,3219.5670999999998,EOD,46,-1142.4108224523372,-0.3036665025115,BEAR_TRENDING,True,1
Expiry Day Momentum,MARUTI,LONG,2022-01-28 00:00:00,8488.294449396786,2022-02-02 00:00:00,8208.44307109375,TIME,9,-2747.6277607823167,-0.37677069705925503,BULL_VOLATILE,False,3
Expiry Day Momentum,ADANIGREEN,LONG,2022-02-18 00:00:00,2061.236,2022-02-23 00:00:00,1986.157565600586,TIME,28,-2279.306613142123,-0.29088258160932406,BULL_VOLATILE,False,3
Expiry Day Momentum,CUMMINSIND,LONG,2022-02-18 00:00:00,922.9500559167942,2022-02-23 00:00:00,912.9241456665038,TIME,97,-1235.9714466095163,-0.15607462894668553,BULL_VOLATILE,False,3
Expiry Day Momentum,SHRIRAMFIN,LONG,2022-02-18 00:00:00,234.8987099604862,2022-02-23 00:00:00,217.25645446472166,TIME,295,-5410.833369489309,-0.6803026230591095,BULL_VOLATILE,False,3
Expiry Day Momentum,ASIANPAINT,SHORT,2022-02-25 00:00:00,2988.4620440540302,2022-02-28 00:00:00,2915.7706800794535,TP,36,2312.1866770334755,0.29618669347777227,BEAR_VOLATILE,False,1
