strategy,total_trades,win_rate,profit_factor,expectancy,avg_r,avg_win,avg_loss,largest_win,largest_loss,total_return,cagr,sharpe,sortino,max_dd,calmar,recovery_factor,final_capital,vol_annualised,years
VWAP Reversal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Institutional Order Block,55.0,0.6727,0.498,-699.26,-0.09,1029.15,-4252.1,3661.94,-8511.29,-0.0072,-0.0014,-0.072,-0.06,-0.0296,-0.048,-0.244,992762.89,0.018,5.07
Gap and Go / Fade,195.0,0.5282,0.48,-701.08,-0.085,1226.69,-2859.35,13757.88,-8403.03,-0.0265,-0.0053,-0.111,-0.084,-0.0696,-0.076,-0.38,973529.77,0.041,5.07
Small Cap Value,129.0,0.7364,0.643,-341.36,-0.042,834.35,-3626.42,3603.44,-8375.52,-0.044,-0.0088,-0.485,-0.404,-0.0659,-0.134,-0.669,955964.65,0.0184,5.07
ORB Modified,5.0,0.2,0.023,-672.15,-0.204,79.51,-860.07,79.51,-1583.15,-0.0013,-0.0009,-0.497,-0.171,-0.0024,-0.361,-0.529,998746.19,0.0018,1.47
PEAD (Earnings),36.0,0.6944,0.56,-758.29,-0.097,1388.25,-5636.77,3867.76,-8231.67,-0.0488,-0.0098,-0.514,-0.168,-0.0625,-0.157,-0.781,951192.71,0.0193,5.07
Expiry Day Momentum,156.0,0.5577,0.395,-694.72,-0.094,812.96,-2595.72,4343.56,-7875.06,-0.0875,-0.0179,-0.546,-0.282,-0.1209,-0.148,-0.724,912461.37,0.0328,5.07
52-Week Breakout + OI,311.0,0.6495,0.468,-522.47,-0.074,708.9,-2804.46,4433.05,-8227.89,-0.1625,-0.0344,-0.925,-0.64,-0.1676,-0.205,-0.97,837511.2,0.0378,5.07
BB Squeeze,124.0,0.6371,0.371,-744.79,-0.097,689.79,-3263.27,2967.05,-8399.96,-0.0924,-0.0189,-0.999,-0.62,-0.1056,-0.179,-0.875,907646.14,0.0194,5.07
Sector Rotation,808.0,0.729,0.562,-379.82,-0.058,669.07,-3200.78,4591.78,-8467.97,-0.3069,-0.0698,-1.16,-1.012,-0.3316,-0.21,-0.926,693109.39,0.062,5.07
Momentum + Delivery %,425.0,0.6565,0.362,-763.71,-0.117,660.92,-3486.11,5227.76,-8459.88,-0.3246,-0.0745,-1.359,-0.911,-0.3289,-0.227,-0.987,675423.6,0.0569,5.07
Quality Momentum,944.0,0.7458,0.5,-452.3,-0.071,607.2,-3560.16,8032.62,-8531.31,-0.427,-0.1041,-1.661,-1.674,-0.4453,-0.234,-0.959,573028.74,0.0662,5.07
FII Divergence,923.0,0.6782,0.427,-492.83,-0.085,541.05,-2671.98,3938.97,-8326.74,-0.4549,-0.1128,-1.775,-1.602,-0.4558,-0.248,-0.998,545117.19,0.0676,5.07
